Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
K9QKKR2F,journalArticle,2017,"Legare, Bryan; Mace, Christopher","Mapping and Classifying Eastern Oyster (Crassostrea virginica) Habitat in Copano Bay, Texas, by Coupling Acoustic Technologies",Journal of Coastal Research,,0749-0208,10.2112/JCOASTRES-D-15-00205.1,,"The Texas coast is characterized by an extensive array of shallow turbid embayments containing expansive oyster habitats and is home to a large Eastern Oyster (Crassostrea virginica) fishery. Mapping habitats in shallow (1-10 m), turbid environments is challenging, since direct visual access to the habitats limited. To quantify the extent of habitats, the integration of remote sensing and GIS technologies is used. The Texas Parks and Wildlife Department coupled two acoustic technologies (sidescan sonar and echosounder) to map habitats within Copano Bay, a 181-km(2) shallow water embayment along the mid-Texas coast. Data were collected during 17 days from September 2013 to February 2014 and resulted in 159 km(2) of sidescan imagery and 375 km of single beam echosounder data. Individual echosounder transmissions were segmented and processed in ArcGIS 10.1 using the ""Unsupervised Classification"" tool. Using the classified echosounder data to identify objects located within the sidescan imagery allows for interpolation of habitat using the National Oceanic and Atmospheric Administration's Habitat Digitizer ArcGIS Extension. A total of 25.9 km(2) of oyster habitat, 11.6 km(2) of shell, 26.4 km(2) of sand, and 95.1 km(2) of mud were digitized. The resulting habitat map had an overall accuracy of 86% from ground truthing accuracy assessments. This article provides methods for combining sidescan and echosounder acoustic technologies to accurately map habitats in shallow Texas estuaries.",2017-03,3/25/19 20:55,3/25/19 20:55,,286-294,,2,33,,,,,,,,,,,,,,,,,WOS:000397355700005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G333CIET,journalArticle,2017,"Jones, T. A.","Impacts on ecosystems, corrective restoration practices, and prospects for recovery: nine case studies in the continental United States",Rangeland Journal,,1036-9872,10.1071/RJ17021,,"Ecological restoration in the United States is growing in terms of the number, size, and diversity of projects. Such efforts are intended to ameliorate past environmental damage and to restore functioning ecosystems that deliver desired levels of ecosystem services. In nine current restoration case studies from across the continental United States, this paper details (1) the impacts of the original disturbance and compounding secondary issues that compel restoration, (2) the corrective practices applied to advance restoration goals, and (3) the prospects for recovery of ecosystem services, including those involving associated animal populations. Ecosystem-altering impacts include flood control (Kissimmee River), flood control and navigation (Atchafalaya Basin), damming for irrigation-water storage (Colorado River) and hydroelectric power (Elwha River), logging and fire suppression (longleaf pine forest), plant invasions that decrease fire-return intervals (Great Basin shrublands, Mojave Desert), nutrient and sediment loading of watersheds (Chesapeake Bay, Mississippi River delta), and conversion of natural lands to agriculture (tallgrass prairie). Animal species targeted for recovery include the greater sage-grouse (Great Basin shrublands), the red-cockaded woodpecker (longleaf pine forest), the south-western willow flycatcher (Colorado River and its tributaries), the desert tortoise (Mojave Desert), eight salmonid fish (Elwha River), and the blue crab and eastern oyster (Chesapeake Bay).",2017,3/25/19 20:55,3/25/19 20:55,,431-450,,6-May,39,,,,,,,,,,,,,,,,,WOS:000423401600004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQ5ZBJ3S,journalArticle,2017,"Liu, Hui-Ling; Yang, Shi-Ping; Guo, Wen-Jun; Tan, Zhen-Hua; Chan, Siuming Francis","Effects of Air Exposure and Re-Submersion on Oxidative Stress of Marine Gastropod, Babylonia areolata",Israeli Journal of Aquaculture-Bamidgeh,,0792-156X,,,"The effects of air exposure on the antioxidant capacity of marine gastropod, Babylonia areolata, were evaluated. Superoxide dismutase (SOD) activity, malondialdehyde (MDA) content, and total antioxidant capacity (T-AOC) levels in the muscle and hepatopancreas in B. areolata were measured after air exposure and re-submersion. Results showed that SOD activity minimally increased in the hepatopancreas and muscle, after air exposure for 4 h. SOD activity in the hepatopancreas was lower than the normal level after 20 h of air exposure and air exposure followed by 4 h of re-submersion. T-AOC levels in the hepatopancreas and muscle of B. areolata decreased significantly (P < 0.05) following the period of air exposure. MDA content in the hepatopancreas of B. areolata subjected to air exposure for 24 and 28 h was significantly higher than the normal level. SOD activity in the hepatopancreas and TAOC level in the hepatopancreas and muscle of B. areolata recovered to the normal level after 12 h of air exposure followed by 8 h of re-submersion. Air exposure can cause oxidative damage to B. areolata. The antioxidative system can be restored after air exposure for less than 12 h followed by re-submersion for 8 h.",2017,3/25/19 20:55,3/25/19 20:55,,4000,,,69,,,,,,,,,,,,,,,,,WOS:000419387500002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KABED8SP,journalArticle,2017,"Levine, Erica A.; Gosnell, John S.; Goetz, Emily M.; Malinowski, Christopher R.","Natural cultch type influences habitat preference and predation, but not survival, in reef-associated species",Restoration Ecology,,1061-2971,10.1111/rec.12385,,"A shared origin with fresh and dredged cultch and availability via mining have made fossil cultch a commonly used reef restoration substrate. However, important differences in shape and size between whole-shell cultch and fossil cultch may impact the complexity of reefs constructed from these materials. To determine if these differences may impact the development of restored reefs, we quantified the interstitial space each cultch type provides and constructed reef mesocosms to measure (1) the immediate effects of exposure to each cultch type on mortality of blue crab (Callinectes sapidus) and pink shrimp (Farfantepenaeus duorarum); (2) the tendency of crab, shrimp, and Florida crown conch (Melongena corona) to be found on habitats composed of each substrate type and their position within each in split-substrate mesocosms; and (3) the influence of cultch type on predation of Eastern oysters (Crassostrea virginica) by crabs and conch. Aggregation of fossil cultch contains more shells and provides less interstitial space than an equivalent volume of whole-shell cultch. Although immediate mortality following deployment was low and did not differ among cultch types, we found that all species were more likely to be found on fresh cultch over fossil cultch in choice experiments and used each habitat type differently. Cultch type also impacted the size of oysters consumed by crabs in short-term feeding trials. The structure and traits of habitats created by various materials should be added to the growing list of issues considered when natural communities are to be restored in oyster reefs and other environments.",2017-01,3/25/19 20:55,3/25/19 20:55,,101-111,,1,25,,,,,,,,,,,,,,,,,WOS:000396475900013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV96QV74,journalArticle,2017,"Hughes, A. Randall; Hanley, Torrance C.; Byers, James E.; Grabowski, Jonathan H.; Malek, Jennafer C.; Piehler, Michael F.; Kimbro, David L.",Genetic by environmental variation but no local adaptation in oysters (Crassostrea virginica),Ecology and Evolution,,2045-7758,10.1002/ece3.2614,,"Functional trait variation within and across populations can strongly influence population, community, and ecosystem processes, but the relative contributions of genetic vs. environmental factors to this variation are often not clear, potentially complicating conservation and restoration efforts. For example, local adaptation, a particular type of genetic by environmental (G*E) interaction in which the fitness of a population in its own habitat is greater than in other habitats, is often invoked in management practices, even in the absence of supporting evidence. Despite increasing attention to the potential for G*E interactions, few studies have tested multiple populations and environments simultaneously, limiting our understanding of the spatial consistency in patterns of adaptive genetic variation. In addition, few studies explicitly differentiate adaptation in response to predation from other biological and environmental factors. We conducted a reciprocal transplant experiment of first-generation eastern oyster (Crassostrea virginica) juveniles from six populations across three field sites spanning 1000 km in the southeastern Atlantic Bight in both the presence and absence of predation to test for G*E variation in this economically valuable and ecologically important species. We documented significant G*E variation in survival and growth, yet there was no evidence for local adaptation. Condition varied across oyster cohorts: Offspring of northern populations had better condition than offspring from the center of our region. Oyster populations in the southeastern Atlantic Bight differ in juvenile survival, growth, and condition, yet offspring from local broodstock do not have higher survival or growth than those from farther away. In the absence of population-specific performance information, oyster restoration and aquaculture may benefit from incorporating multiple populations into their practices.",2017-01,3/25/19 20:55,3/25/19 20:55,,697-709,,2,7,,,,,,,,,,,,,,,,,WOS:000392075300021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNVENLTP,journalArticle,2017,"Gain, Isis E.; Brewton, Rachel A.; Robillard, Megan M. Reese; Johnson, Keith D.; Smee, Delbert L.; Stunz, Gregory W.",Macrofauna using intertidal oyster reef varies in relation to position within the estuarine habitat mosaic,Marine Biology,,0025-3162,10.1007/s00227-016-3033-5,,"Oyster reefs are important components of marine ecosystems and function as essential habitat for estuarine species; however, few studies have simultaneously compared natural intertidal reefs to more well-studied seagrass meadows and marsh habitats. We investigated habitat use within an estuarine mosaic consisting of intertidal oyster reef (Crassostrea virginica), seagrass (Halodule wrightii), and marsh edge (Spartina alterniflora) habitats in Corpus Christi Bay, Texas. Oyster sampling units (OSUs) were deployed within intertidal oyster reef, and modified throw traps were used to collect macrofauna inhabiting the OSU and other adjacent vegetated habitats. Habitat arrangement and proximity as it relates to macrofaunal density, species richness, and community composition were also evaluated by comparing communities in oyster reef within the oyster reef complex, oyster reef adjacent to a seagrass complex, and oyster reef adjacent to marsh edge. Higher macrofaunal densities and species richness were observed within oyster reefs compared to seagrass and marsh edge. Oyster reef also supported a distinct community, while seagrass and marsh shared similar species composition and richness. The highest densities of macrofauna were collected on oyster reefs near seagrass and oyster reef located within the oyster reef complex. These results indicate the importance of intertidal oyster reefs to macrofauna and that reef location within the estuarine mosaic influences density and community assemblages. These findings are important because in many areas there are large efforts to restore oyster reef in estuarine systems, and for these programs to be successful, it is necessary to understand the functional roles and linkages among habitats.",2017-01,3/25/19 20:55,3/25/19 20:55,,8,,1,164,,,,,,,,,,,,,,,,,WOS:000392332900008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527XAEG3,journalArticle,2017,"Leonhardt, Justin M.; Casas, Sandra; Supan, John E.; La Peyre, Jerome F.",Stock assessment for eastern oyster seed production and field grow-out in Louisiana,Aquaculture,,0044-8486,10.1016/j.aquaculture.2016.09.034,,"There is little information on the performance of oyster populations from Louisiana estuaries limiting the ability to choose stocks for hatchery seed production and field grow-out. The objectives of this study were therefore to compare the mortality, growth, dermo (Perkinsus marinus) infection intensity and condition index of the progeny of wild oysters collected from three Louisiana estuaries differing in salinity regime and oysters specifically selected for dermo resistance. Progeny were deployed in cages in the field, along a salinity gradient in coastal Louisiana. Overall, salinity and temperature had major impacts on the mortality, growth, dermo infection intensity and condition index of oysters of all four stocks and a few differences between stocks could be shown at some sites. At the lowest salinity site, the progeny of wild oysters from Sister Lake, a low salinity estuarine lake, had the lowest mortality suggesting enhanced tolerance to low salinity conditions compared to the other stocks. At the highest salinity site, the progeny of wild oysters from Lake Calcasieu, a high salinity estuarine lake, had the lowest mortality during summer concomitant with increasing dermo infection intensities suggesting a better resistance to dermo disease compared to the other wild stocks and confirming an earlier finding. This initial result suggests that the stocks used are genetically differentiated with respect to low salinity tolerance as well as dermo-related mortality at high salinity and that stock selection for aquaculture grow-out or restoration effort will benefit from being site-specific and dependent on the dominant environmental conditions. Statement of relevance: Assessment of eastern oyster stocks in Louisiana or other Gulf of Mexico estuaries for seed production and field grow-out is lacking. (C) 2016 Elsevier B.V. All rights reserved.",1/1/17,3/25/19 20:55,3/25/19 20:55,,19-Sep,,,466,,,,,,,,,,,,,,,,,WOS:000385372700002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J8Q6FEWL,journalArticle,2016,"Walles, Brenda; Smaal, Aad C.; Herman, Peter M. J.; Ysebaert, Tom",Niche dimension differs among life-history stages of Pacific oysters in intertidal environments,Marine Ecology Progress Series,,0171-8630,10.3354/meps11961,,"Structure-building, autogenic ecosystem engineers are recognized worldwide as potential tools for coastal protection, which depends on long-term sustainability and persistence of their structures. For reef-building oysters, reefs are maintained through accumulation of shell material, which depends on recruitment and growth and which provides substrate for new generations. Knowledge of the fundamental niche of oysters in relation to biotic and abiotic conditions helps define the area where ecosystem engineers grow and survive well and where their structures are likely to persist and be effective for coastal protection. Response curves of different life-history stages (larvae, juveniles and adults) of the Pacific oyster Crassostrea gigas were investigated along a tidal emersion gradient in a manipulative field study. Density of juvenile oysters was maximal around 36% tidal emersion. Shell growth of juveniles and adults, condition index (CI) of adults and mortality of adults were negatively related to tidal emersion, whereas mortality of juveniles was positively related to tidal emersion. Tidal emersion had a strong effect on oyster survival and growth, with the most favourable being around 20 to 40% tidal emersion, as indicated by recruit density and the CI of adults. These findings suggest that the area of 20 to 40% tidal emersion is optimal for reef development, which is in line with other investigations of C. gigas and the eastern oyster C. virginica across different systems, supporting a broader geographical application of these findings.",12/29/16,3/25/19 20:55,3/25/19 20:55,,113-122,,,562,,,,,,,,,,,,,,,,,WOS:000394183600009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7A7PCGYC,journalArticle,2016,"Kulp, Rebecca E.; Peterson, Bradley J.",EVALUATING THE IMPACT OF MESOPREDATORS ON OYSTER RESTORATION IN THE NEW YORK METROPOLITAN REGION,Journal of Shellfish Research,,0730-8000,10.2983/035.035.0408,,"Predation of newly settled juvenile Cras'sostrea virginica often dominates post-settlement mortality. Resident mesopredators such as the xanthid mud crabs are abundant (>200/m(2)) on constructed subtidal oyster reefs in the New York metropolitan region and may contribute to post-settlement oyster mortality. Two study sites with differing mesopredator species, Hastings and Soundview Park, were selected to examine the role of small crustacean predators in post settlement mortality. The white-fingered mud crab (Rhithropanopeus horrisii) inhabits Hastings, whereas the flat mud crab (Eurvpanopeus depressus) and Sayi niud crab (Dyspanopeus sari) inhabit Soundview Park. Using size-selective mesh cages to exclude predators, the effects of predator size on oyster predation and recruitment at Hastings and Soundview Park were examined. Overall, Sound view Park had higher consumption rates than Hastings. The highest consumption at Soundview Park occurred when predators of all sizes had access to the oyster prey. Larger-sized predators were likely responsible for oyster mortality, as oyster mortality was not different between the mesopredator and no-predator treatment at Soundview Park. Few oysters recruited at Soundview Park: thus predator size effects on oyster recruitment could not be effectively evaluated between sites. Recruitment at Hastings was not affected by predator-exclusion treatments, in agreement with the oyster predation experiments. Though abundant, no mud crab mesopredator recovered at either site was greater than 22 mm in carapace width. Mesopredators were likely not of sufficient size to be dominant predators of newly settled juvenile oysters at Hastings and Soundview Park. Instead, predation pressure at Soundview Park was likely due to larger mobile predators such as blue (Callinccics sapidus) and spider crabs (Libinia spp.). Mesopredator size is an important factor to consider when evaluating mesopredator roles on oyster reefs.",2016-12,3/25/19 20:55,3/25/19 20:55,,801-807,,4,35,,,,,,,,,,,,,,,,,WOS:000398959000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCFL7W8A,journalArticle,2016,"Fisch, Nicholas C.; Pine, William E.","A COMPLEX RELATIONSHIP BETWEEN FRESHWATER DISCHARGE AND OYSTER FISHERY CATCH PER UNIT EFFORT IN APALACHICOLA BAY, FLORIDA: AN EVALUATION FROM 1960 TO 2013",Journal of Shellfish Research,,0730-8000,10.2983/035.035.0409,,"Freshwater input is mught to be a critical factor influencing estuaries through multiple direct and indirect pathways. In this study, findings of a key 1992 paper on Apalachicola Bay oyster fishery data and Apalachicola River discharge data from 1960 to 1984 were recreated, and the analysis extended to 1987 to 2013, to evaluate whether relationships previously reported between river discharge and oyster fishery catch per unit effort (CPUE) persist. The originally reported relationship between low river discharge and lower oyster landings 2 y later was confirmed, but when these same relationships for data from 1987 to 2013 were examined, correlation coefficients relating river discharge metrics to oyster fishery CPUE that were significant with 1960 to 1984 data did not persist with data from 1987 to 2013. Combining all available data (1960 to 2013, excluding 1985 to 1986), previously reported significant correlation coefficients were found to have generally persisted or strengthened and the total number of significant correlations increased. A surprising result is the general lack of association between river discharge and oyster fishery landings from 1987 to 2013, a period of frequent drought and generally lower annual river discharge compared with 1960 to 1984. There are multiple possible explanations for the observed relationships between river discharge and oyster fishery landings including ( l) counterintuitive changes in oyster fishery landings due to a change in reporting requirements between the two epochs, (2) hyperstable relationship between oyster abundance and fishery CPI; E, (3) failure of the Apalachicola Bay oyster population to recover after Hurricane Elena, and (4) ecosystem changes possibly related to nonstationary river discharge levels altering Apalachicola River or Bay ecosystem dynamics in unknown ways. The absence of simple relationships between freshwater input and oyster fishery responses complicates ongoing management and restoration decisions for Apalachicola Bay, and this work demonstrates that, even within the same system, the relationship between freshwater discharge and response by a key estuarine ecosystem constituent is uncertain.",2016-12,3/25/19 20:55,3/25/19 20:55,,809-825,,4,35,,,,,,,,,,,,,,,,,WOS:000398959000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHK9FSR6,journalArticle,2016,"Linhoss, Anna C.; Camacho, Rene; Ashby, Steven",OYSTER HABITAT SUITABILITY IN THE NORTHERN GULF OF MEXICO,Journal of Shellfish Research,,0730-8000,10.2983/035.035.0412,,"Oysters provide a wide variety of ecosystem services including furnishing habitat, supporting an economic industry, and enhancing water quality. To identify suitable areas for oyster restoration and aquaculture, areas of oyster suitable habitat must first be identified. A habitat suitability model is an ideal tool for identifying sites for species restoration. Because it relies on presence-only data, MaxEnt is a particularly useful habitat-suitability model for identifying restoration and species introduction sites. Habitat suitability models rely on the selection of environmental factors, which are assumed to be important for the target species; however, this selection of environmental factors is often arbitrary and there are few existing guidelines. This work applies an oyster habitat suitability model to the St. Louis Bay in the northern Gulf of Mexico. Six environmental factors, namely average salinity, maximum temperature, minimum temperature, water depth, minimum dissolved oxygen, and average total suspended solids were chosen to simulate habitat suitability. The environmental factors were obtained from a calibrated hydrodynamic and water quality model of the estuary. The habitat suitability model was run with every possible combination of environmental factors, including one, two, three, four, five, and six inputs. Model results showed that at this location, salinity is the most important environmental input. Furthermore, model results showed that increasing the number of inputs optimizes model results. There is a diminishing return on the addition of environmental factors and there is a point at which the continued addition of environmental factors will not continue to notably improve model optimization. The ranges of simulated suitable values for the environmental factors were contextualized within measured values. This study shows how a statistical model can he used to identify restoration locations. It is a particularly compelling methodology because (1) it does not require prior information regarding suitable ranges of environmental factors; (2) it does not require information regarding the level of importance for those environmental factors; (3) it requires presence-only data; (4) results are based on spatiotemporal data at a finer scale than is generally measured in the field: and (5) model results can provide an additional line of evidence that complements knowledge by biologists and oystermen.",2016-12,3/25/19 20:55,3/25/19 20:55,,841-849,,4,35,,,,,,,,,,,,,,,,,WOS:000398959000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGJEYDPE,journalArticle,2016,"Savarese, Michael; Walker, Karen J.; Stingu, Shanna; Marquardt, William H.; Thompson, Victor",The effects of shellfish harvesting by aboriginal inhabitants of Southwest Florida (USA) on productivity of the eastern oyster: Implications for estuarine management and restoration,Anthropocene,,2213-3054,10.1016/j.ancene.2016.10.002,,"Oyster reefs in Southwest Florida (USA) have been integral to estuarine ecology throughout the Holocene. Though Crassostrea virginica has never been commercially harvested, aboriginal people used the oyster substantially, accumulating middens between 5000 BC and AD 1700. A conservation paleobiological/historical ecological study of oysters from middens and modern reefs within Estero Bay (EB) and Pine Island Sound (PIS) determined if oyster productivity changed due to aboriginal overharvesting. Archaeological samples came from sites including the Late Archaic (LA, 2000-500 BC) of PIS and the Caloosahatchee (Cal, 500 BC-AD 1500) of EB and PIS. These samples were compared with natural oyster death assemblages from neighboring modern reefs. Methods comprised measuring oyster convex valve lengths and sectioning shells to count ligament pit growth lines that served as proxy for growth rate. The biologic taphonomic grade was also compared after scoring the interior valve surface; biologic grade is near pristine for oysters collected live for consumption. Archaeological samples exhibit significantly better taphonomic grades when compared to modern assemblages, confirming the hypothesis that oysters were harvested for food. Valve length decreased significantly from LA to Cal time, whereas modern assemblages were indistinguishable from LA collections. Because the Cal samples span 4 climatic intervals, the results suggest that climate change was not responsible for shifts in productivity. Results support the hypothesis of overharvesting during Cal times. They also suggest that modern oysters retain the capacity for growth, and indicate that aboriginal activity did not result in a permanent microevolutionary shift. The results are also relevant for the ongoing discussion surrounding the creation of an Anthropocene Epoch; the shell middens built throughout history greatly influenced both estuarine ecology and landscapes through fishing and engineering practices. (C) 2016 Elsevier Ltd. All rights reserved.",2016-12,3/25/19 20:55,3/25/19 20:55,,28-41,,,16,,,,,,,,,,,,,,,,,WOS:000390886300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3SZ6DLQI,journalArticle,2016,"Smyth, Ashley R.; Geraldi, Nathan R.; Thompson, Suzanne P.; Piehler, Michael F.",Biological activity exceeds biogenic structure in influencing sediment nitrogen cycling in experimental oyster reefs,Marine Ecology Progress Series,,0171-8630,10.3354/meps11922,,"Oysters are estuarine ecosystem engineers, in that their physical structure and biological function affect ecosystem processes such as organic matter and nutrient cycling. Oysters deliver material to the sediments through biodeposition and sedimentation caused by modification of flow around the reef. We conducted an experiment to distinguish between biotic effects and physical structure of oyster reefs on sediment nitrogen cycling. Experimental reefs consisting of live oysters, oyster shells alone and mudflats (controls) were sampled for a period of 4 wk for sediment organic matter, C and N content and fluxes of nitrogen (NH4+, NOX and N-2) and oxygen (O-2). We hypothesized that the biological activity of the oyster would deposit more, higher quality organic matter compared to deposition from flow modification alone, thus facilitating denitrification and having a larger impact on sediment nitrogen cycling. Compared to the controls, the live oyster experimental reefs increased sediment denitrification by 61% and the shell experimental reefs showed a 24% increase. The live oyster experimental reef also had the largest O-2 demand and NH4+ production. Reef structure likely increased organic matter deposition, but the higher quality and larger quantity of organic matter associated with live oysters increased denitrification and microbial respiration. This experiment shows that the ecosystem service of nitrogen removal provided by oysters is primarily driven by the biological function of the oysters and secondarily from the physical structure of the reef. Our increased understanding of how oysters engineer ecosystems and modify nutrient cycling can help guide future oyster restoration efforts.",11/24/16,3/25/19 20:55,3/25/19 20:55,,173-183,,,560,,,,,,,,,,,,,,,,,WOS:000390104900012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAF5ZEYN,journalArticle,2016,"Caffrey, Jane M.; Hollibaugh, James T.; Mortazavi, Behzad",Living oysters and their shells as sites of nitrification and denitrification,Marine Pollution Bulletin,,0025-326X,10.1016/j.marpolbul.2016.08.038,,"Oysters provide a critical habitat, are a food resource for higher trophic levels and support important commercial fisheries throughout the world. Oyster reefs can improve water quality by removing phytoplankton. While sediment denitrification may be enhanced adjacent to oyster reefs, little is known about nitrification and denitrification associated with living oysters and their shells. We measured nitrification and denitrification in living oysters (Crassostrea virginica and Crassostrea gigas) and empty oyster shells. Nitrification was similar between live oysters and empty oyster shells, however, denitrification was enhanced significantly on living oysters compared to shells. This is the first demonstration of nitrification and denitrification associated with living oysters and their shells. Our data suggest that loss of historic oyster reefs has likely affected the resilience of estuaries to eutrophication. The additional benefit of oyster mediated denitrification should be considered in restoration of oyster reefs as a tool for managing eutrophication. (C) 2016 Elsevier Ltd. All rights reserved.",11/15/16,3/25/19 20:55,3/25/19 20:55,,86-90,,2-Jan,112,,,,,,,,,,,,,,,,,WOS:000386188900020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTLZL3KY,journalArticle,2016,"Colden, Allison M.; Fall, Kelsey A.; Cartwright, Grace M.; Friedrichs, Carl T.",Sediment Suspension and Deposition Across Restored Oyster Reefs of Varying Orientation to Flow: Implications for Restoration,Estuaries and Coasts,,1559-2723,10.1007/s12237-016-0096-y,,"The eastern oyster, Crassostrea virginica, is a prominent ecosystem engineer, whose reefs exhibit strikingly consistent morphologies at multiple spatial scales throughout its North American range. These distinct morphologies are thought to form by interactions of nascent reef structures with hydrodynamics. We carried out two field studies to determine if historical reef configurations applied in a restoration context would improve reef persistence and restoration outcomes. We collected seabed and water column observations across constructed reefs of three orientations representative of those found historically throughout the oyster's range: parallel or perpendicular to tidal currents or circular. Areas adjacent to reefs were sites of fine sediment trapping, with lower flow velocities, evidence of particle settling, and more fine sediments on the seabed relative to off-reef reference sites. The water column above the reef crest exhibited higher acoustic backscatter, higher flow velocities, and larger particles in suspension, consistent with local erosion of flocculated fine sediment from the reef crest. Perpendicular reefs produced conditions that were more conducive to reef persistence and improved oyster performance, including high flow velocities and enhanced resuspension of sediments from the reef, compared to parallel or circular reefs. Particle trapping in areas between reefs has the potential to inhibit reef growth between existing reef structures, providing support for hypotheses of landscape-scale reef pattern formation. Oyster reef restoration efforts can benefit from this improved understanding of biophysical interactions arising from reef orientation that contribute to sediment dynamics on constructed oyster reefs.",2016-09,3/25/19 20:55,3/25/19 20:55,,1435-1448,,5,39,,,,,,,,,,,,,,,,,WOS:000380268400010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X88EQTAD,journalArticle,2016,"Frederick, Peter; Vitale, Nick; Pine, Bill; Seavey, Jennifer; Sturmer, Leslie",REVERSING A RAPID DECLINE IN OYSTER REEFS: EFFECTS OF DURABLE SUBSTRATE,Journal of Shellfish Research,,0730-8000,10.2983/035.035.0210,,"Offshore oyster reefs in the Big Bend Coast of Florida have declined by 88% during the last 30 y, with the most likely mechanism being repeated die-offs due to predation and disease during high-salinity periods, driven by episodic and increasing periods of reduced freshwater input to estuaries. These die-off events have led to a conversion from shell to sandbar substrate and rapid loss of elevation (ca 8 cm/y). This process appears to be nonreversible, because oyster spat are unable to colonize sandy substrate. It is hypothesized that the addition of durable hard substrate would make reefs more resilient to periodic declines in freshwater flow by providing a persistent settlement site for extant larvae. This article reports a test of the assumption that oyster populations on these reefs are limited by substrate, and documents key effects on oysters, elevation, and avian usage associated with the addition of substrate. Durable substrate was added in the form of limerock cobbles and recycled clam Mercenaria mercenaria (Linnaeus, 1758) aquaculture bags filled with cultch, live oysters, and associated fauna to eight paired treatment and control sites spaced along a highly degraded offshore reef chain. Elevation on treatment reefs increased postconstruction by an average of 16 cm. Mean oyster density on treatment sites increased by 2.653x on rock, 14.53x on clam bags, and 9.23x overall compared with control sites. Recycled clam bags contributed approximately 25% of the surface area on treatment reefs, but accounted for 52% of the oysters observed. Oyster densities on treatment sites were between 893 and 1253 those measured at a larger sample of nearby natural reefs, and exceeded the 89th percentile of reported densities at natural and restored reefs in the Gulf of Mexico. Total bird use was higher on treatment sites, but when controlled for elevation, all species but double-crested cormorants [Phalacrocorax auritus (Lesson, 1831)] and bald eagles [Haliaeetus leucocephalus (Linnaeus, 1766)] preferred control (sand bar) sites. These results indicate that (1) oyster recruitment can be strongly limited by available, durable substrate, especially in high-energy environments; (2) aquaculture byproduct materials can play a significant role in the process of restoration; and (3) restoration of oyster reefs and other living shorelines may have impacts on avian community composition. Future research should be aimed at understanding whether durable substrate can also confer longer term resilience to oyster reef communities.",2016-08,3/25/19 20:55,3/25/19 20:55,,359-367,,2,35,,,,,,,,,,,,,,,,,WOS:000383798600010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
